province,Jul19,Aug19,Sep19,Oct19,Nov19,Dec19,Jan20,Feb20,Mar20,Apr20,May20,Jun20,Jul20,Aug20,Sep20,Oct20,Nov20,Dec20,Jan21,Feb21,Mar21,Apr21,May21,Jun21
Songkhla,2709.0,2497.0,2325.0,2716.0,2712.0,2900.0,2853.0,2770.0,3181.0,2462.0,4021.0,4358.0,3595.0,3161.0,3195.0,2808.0,2562.0,2388.0,2854.0,2994.0,3004.0,2975.0,2679.0,2940.0
Sukhothai,1274.0,1287.0,1177.0,1334.0,1345.0,1361.0,1514.0,937.0,1010.0,830.0,1860.0,1735.0,1604.0,1193.0,1330.0,1240.0,1502.0,1133.0,1256.0,1288.0,1320.0,1304.0,1178.0,1260.0
Suphan Buri,2141.0,1904.0,1878.0,2431.0,2401.0,2072.0,2103.0,1608.0,1451.0,923.0,2556.0,3102.0,2101.0,2123.0,1732.0,2190.0,2127.0,1992.0,1801.0,1668.0,2159.0,1620.0,2029.0,1624.0
Surat Thani,2500.0,2468.0,2514.0,2581.0,2717.0,2604.0,2976.0,2119.0,2207.0,1632.0,4185.0,4228.0,2591.0,2424.0,2430.0,2309.0,2625.0,2237.0,2871.0,2029.0,2886.0,2620.0,2223.0,2241.0
Surin,2275.0,1974.0,1875.0,2400.0,2426.0,2229.0,2196.0,1608.0,2240.0,1243.0,3352.0,3361.0,3182.0,2231.0,2180.0,2467.0,2449.0,2166.0,2163.0,1928.0,2348.0,2317.0,2271.0,2092.0
Tak,1288.0,1230.0,1251.0,1349.0,1323.0,1323.0,1508.0,1024.0,1138.0,840.0,1843.0,1645.0,1487.0,1186.0,1253.0,1248.0,1481.0,1117.0,1237.0,1175.0,1536.0,1972.0,1305.0,1418.0
Trang,1289.0,1247.0,1342.0,1305.0,1391.0,1189.0,1518.0,1212.0,1552.0,870.0,1888.0,1810.0,1403.0,1115.0,1275.0,1344.0,1631.0,1085.0,1250.0,1674.0,1484.0,1767.0,1948.0,1407.0
Trat,632.0,607.0,620.0,775.0,815.0,698.0,999.0,794.0,719.0,467.0,720.0,912.0,726.0,627.0,699.0,606.0,745.0,728.0,701.0,706.0,745.0,733.0,626.0,889.0
Ubon Ratchathani,2878.0,2715.0,2625.0,2736.0,2732.0,2727.0,3639.0,2199.0,2424.0,1435.0,3956.0,3943.0,3939.0,2478.0,2484.0,2364.0,3413.0,2603.0,2029.0,3267.0,3223.0,2457.0,2629.0,3288.0
Udon Thani,2818.0,2317.0,2465.0,2631.0,2726.0,2648.0,3506.0,2153.0,2417.0,1403.0,3391.0,4431.0,3723.0,2388.0,2476.0,2472.0,2582.0,2414.0,2540.0,2966.0,2971.0,2998.0,2565.0,2955.0
Uthai Thani,722.0,657.0,613.0,824.0,727.0,667.0,1053.0,703.0,729.0,608.0,1019.0,933.0,779.0,713.0,731.0,636.0,757.0,731.0,724.0,691.0,711.0,717.0,637.0,887.0
Uttaradit,1209.0,1161.0,1172.0,1324.0,1297.0,1185.0,1586.0,932.0,937.0,773.0,1184.0,1114.0,1107.0,1183.0,1119.0,1169.0,1334.0,1122.0,1226.0,1128.0,1414.0,1260.0,1225.0,1248.0
Yala,1320.0,1174.0,1231.0,1340.0,1322.0,1242.0,1542.0,1163.0,1839.0,1036.0,1986.0,1861.0,1864.0,1971.0,1145.0,1202.0,1283.0,1155.0,1226.0,1205.0,1340.0,1324.0,1237.0,1273.0
Yasothon,917.0,1023.0,1154.0,1138.0,1051.0,674.0,916.0,807.0,741.0,414.0,1170.0,1214.0,1053.0,868.0,853.0,1001.0,1220.0,920.0,701.0,710.0,940.0,1084.0,992.0,902.0
