province,Jun19,Jul19,Aug19,Sep19,Oct19,Nov19,Dec19,Jan20,Feb20,Mar20,Apr20,May20,Jun20,Jul20,Aug20,Sep20,Oct20,Nov20,Dec20,Jan21,Feb21,Mar21,Apr21,May21
Ratchaburi,7074,8226,9171,7446,641,389,586,390,309,655,300,388,473,879,953,829,1236,1395,1702,7967,10432,10873,7759,674
Rayong,9462,10861,11674,9015,1114,671,986,648,630,1012,482,492,696,1160,1517,1443,1844,2145,2355,5340,11964,14136,11121,1253
Roi Et,3175,3646,3921,2812,458,309,529,386,303,485,290,260,409,641,727,708,1169,1259,1707,4035,3970,4294,4187,670
Sa Kaeo,2247,2712,3042,2236,277,165,297,222,188,279,150,147,233,379,446,309,659,664,943,2710,3612,3693,2711,374
Sakon Nakhon,2486,3000,3188,2557,381,231,427,360,247,357,169,179,293,537,579,573,1189,1062,1419,3607,3505,4128,3362,579
Samut Prakan,11978,13972,15664,11799,1355,861,1191,746,624,1114,464,479,859,1469,1579,1435,2097,2322,2804,8866,14397,17870,12160,1004
Samut Sakhon,3534,3960,4407,3590,341,232,298,215,176,342,186,215,256,500,519,451,748,935,827,2509,4023,5319,4342,512
Samut Songkhram,3367,3871,4247,3307,237,138,182,117,128,225,114,144,182,323,312,293,391,412,373,1631,2822,3191,2875,179
Saraburi,6154,7270,8232,6507,651,377,618,401,313,617,371,369,509,777,954,809,1343,1563,1852,6972,9281,11219,6953,841
Satun,929,764,1021,720,106,66,96,83,71,581,70,36,77,178,219,203,267,356,429,1301,1554,1839,1748,143
Si Sa Ket,2835,3449,3725,2893,405,292,668,404,243,412,233,191,350,635,668,586,1046,1079,1614,3375,3539,3658,3779,525
Sing Buri,1658,1967,2248,1619,154,80,172,107,95,173,80,102,118,255,262,234,385,403,456,1562,2101,2314,1598,184
Songkhla,7132,7299,9017,7124,958,627,855,615,577,3019,320,298,627,1223,1565,1672,1734,2058,2509,9322,10918,11729,8605,767
Sukhothai,1799,2377,2388,1894,258,185,369,203,140,243,112,147,205,389,359,320,664,595,840,2629,3157,3271,2959,270
Suphan Buri,5939,6877,8031,6178,566,346,513,387,315,501,293,369,471,804,756,692,1328,1254,1643,6610,9171,9466,6666,646
Surat Thani,5688,6214,7002,5653,801,559,775,559,450,897,243,280,554,1022,1192,1048,1309,1588,1972,8208,10505,12092,9040,613
Surin,2872,3515,3839,3138,457,304,581,441,270,416,214,186,364,667,646,696,929,1219,1656,3344,3250,3670,3745,634
Tak,1889,2277,2371,1973,281,202,286,181,147,299,104,113,229,313,352,283,456,534,689,2318,2734,3250,2342,296
Trang,1803,2063,2280,1847,287,166,302,205,159,476,77,60,225,428,436,412,580,745,868,2666,3345,3526,3014,209
Trat,1450,1606,1577,1154,177,122,156,91,79,220,65,44,126,224,231,267,300,364,445,1432,2416,3039,2888,192
Ubon Ratchathani,4838,5960,6009,4407,693,467,835,569,461,611,297,345,593,1005,1072,1019,1525,1674,2218,6209,6896,7680,6678,890
Udon Thani,5826,7096,8816,6186,810,554,864,623,526,785,363,404,601,1137,1316,1216,1942,1957,2448,7075,7730,9162,6606,923
Uthai Thani,1267,1751,1799,1373,145,98,177,148,94,125,75,77,116,239,234,215,348,397,625,2015,2197,2283,1715,187
Uttaradit,1626,1989,2167,1449,207,129,273,162,109,208,65,106,175,333,294,291,449,500,716,2308,2591,2995,2415,272
Yala,1202,1300,1974,1235,123,103,150,91,79,1429,76,52,94,209,269,238,328,383,420,1505,1618,1876,1412,137
Yasothon,1244,1412,1501,1033,187,124,219,144,91,166,103,105,140,264,274,250,461,460,672,1657,1619,1755,1806,278
