district,Jun19,Jul19,Aug19,Sep19,Oct19,Nov19,Dec19,Jan20,Feb20,Mar20,Apr20,May20,Jun20,Jul20,Aug20,Sep20,Oct20,Nov20,Dec20,Jan21,Feb21,Mar21,Apr21,May21
Tak#Sam Ngao,158,164,187,154,20.0,13.0,21.0,19.0,8.0,9.0,4.0,4.0,6.0,30.0,19,20.0,46.0,56,57,171,198,206,176,20.0
Tak#Tha Song Yang,62,81,69,48,14.0,7.0,9.0,5.0,1.0,6.0,1.0,2.0,2.0,5.0,5,3.0,6.0,18,36,145,134,182,121,15.0
Tak#Umphang,41,56,51,45,4.0,11.0,13.0,7.0,11.0,10.0,1.0,1.0,6.0,12.0,10,11.0,20.0,24,29,96,93,117,71,21.0
Tak#Wang Chao,62,97,105,60,8.0,15.0,11.0,6.0,4.0,14.0,3.0,9.0,10.0,9.0,11,14.0,27.0,22,50,119,138,150,132,16.0
Trang#Hat Samran,18,27,26,11,6.0,0.0,2.0,3.0,0.0,14.0,1.0,3.0,3.0,6.0,6,3.0,12.0,7,14,59,73,70,50,3.0
Trang#Huai Yot,188,196,247,213,35.0,16.0,32.0,19.0,13.0,28.0,7.0,4.0,17.0,43.0,41,47.0,64.0,79,110,325,422,447,366,40.0
Trang#Kantang,205,247,257,202,30.0,18.0,34.0,17.0,19.0,86.0,12.0,3.0,23.0,49.0,48,41.0,59.0,82,95,348,453,513,537,23.0
Trang#Mueang Trang,1149,1367,1434,1189,169.0,101.0,173.0,129.0,112.0,242.0,38.0,39.0,146.0,267.0,281,256.0,341.0,424,467,1518,1946,2080,1659,107.0
Trang#Na Yong,110,125,135,142,15.0,9.0,17.0,16.0,15.0,38.0,8.0,4.0,17.0,29.0,37,23.0,34.0,50,65,197,271,237,241,11.0
Trang#Palian,136,117,163,100,15.0,9.0,24.0,15.0,12.0,39.0,7.0,5.0,17.0,33.0,28,20.0,41.0,72,76,201,266,244,252,14.0
Trang#Ratsada,66,67,73,71,7.0,5.0,16.0,9.0,4.0,15.0,2.0,3.0,8.0,13.0,12,15.0,31.0,35,47,160,154,178,138,5.0
Trang#Sikao,88,120,154,116,17.0,5.0,10.0,14.0,8.0,35.0,6.0,3.0,14.0,24.0,21,27.0,48.0,58,47,265,327,384,435,17.0
Trang#Wang Wiset,74,69,86,68,16.0,4.0,10.0,7.0,6.0,14.0,4.0,3.0,6.0,18.0,17,10.0,17.0,16,41,129,156,126,146,7.0
Trang#Yan Ta Khao,125,142,155,131,24.0,15.0,30.0,12.0,9.0,60.0,13.0,5.0,32.0,35.0,23,38.0,40.0,47,74,203,279,284,271,12.0
Trat#Bo Rai,76,89,103,78,8.0,10.0,13.0,7.0,3.0,12.0,7.0,7.0,5.0,10.0,9,7.0,16.0,32,34,102,131,161,164,16.0
Trat#Khao Saming,220,238,258,191,15.0,19.0,14.0,11.0,11.0,44.0,23.0,11.0,16.0,20.0,24,37.0,50.0,43,62,200,361,426,415,37.0
Trat#Khlong Yai,128,119,143,119,22.0,21.0,17.0,11.0,2.0,10.0,12.0,3.0,10.0,15.0,14,25.0,25.0,34,46,350,440,440,390,16.0
Trat#Ko Chang,347,407,322,223,40.0,20.0,37.0,21.0,24.0,51.0,4.0,1.0,33.0,77.0,70,76.0,83.0,91,108,233,421,615,954,14.0
Trat#Ko Kut,132,139,70,60,26.0,12.0,17.0,8.0,7.0,23.0,0.0,1.0,13.0,34.0,19,15.0,21.0,40,37,84,216,405,412,11.0
Trat#Laem Ngop,96,122,129,89,8.0,4.0,10.0,7.0,7.0,12.0,3.0,1.0,9.0,11.0,8,11.0,13.0,22,32,89,200,219,214,10.0
Trat#Mueang Trat,695,755,815,569,71.0,53.0,58.0,41.0,34.0,94.0,21.0,25.0,57.0,90.0,106,120.0,129.0,155,193,686,1250,1528,1152,106.0
Ubon Ratchathani#Buntharik,77,124,139,84,25.0,9.0,20.0,18.0,10.0,17.0,10.0,14.0,27.0,28.0,30,30.0,44.0,55,73,180,190,218,226,34.0
Ubon Ratchathani#Det Udom,280,328,345,275,38.0,24.0,62.0,36.0,30.0,51.0,16.0,17.0,47.0,76.0,63,69.0,147.0,178,219,489,503,562,598,80.0
Ubon Ratchathani#Don Mot Daeng,43,43,38,48,1.0,3.0,5.0,6.0,3.0,0.0,0.0,3.0,5.0,11.0,2,4.0,4.0,13,21,35,41,48,66,10.0
Ubon Ratchathani#Khemarat,163,218,324,237,28.0,15.0,34.0,17.0,12.0,22.0,12.0,16.0,15.0,46.0,42,26.0,69.0,76,84,304,318,367,337,37.0
Ubon Ratchathani#Khong Chiam,162,244,197,94,16.0,14.0,23.0,13.0,10.0,18.0,9.0,6.0,20.0,47.0,31,32.0,57.0,65,101,291,331,368,281,29.0
Ubon Ratchathani#Khueang Nai,177,237,206,149,22.0,9.0,36.0,15.0,15.0,27.0,7.0,13.0,19.0,25.0,34,29.0,68.0,61,101,255,283,300,310,24.0
Ubon Ratchathani#Kut Khaopun,33,74,81,70,6.0,8.0,11.0,5.0,3.0,4.0,4.0,4.0,7.0,7.0,5,6.0,26.0,26,40,126,137,132,167,6.0
Ubon Ratchathani#Lao Suea Kok,40,49,40,26,5.0,4.0,7.0,5.0,3.0,9.0,10.0,4.0,3.0,11.0,4,6.0,11.0,10,16,60,60,64,83,8.0
Ubon Ratchathani#Muang Sam Sip,136,160,142,133,16.0,11.0,13.0,20.0,9.0,22.0,15.0,6.0,18.0,39.0,22,30.0,49.0,53,72,194,212,260,273,40.0
Ubon Ratchathani#Mueang Ubon Ratchathani,2959,3551,3438,2489,354.0,255.0,390.0,281.0,269.0,287.0,106.0,156.0,296.0,580.0,665,576.0,742.0,795,867,2952,3724,4157,2833,363.0
Ubon Ratchathani#Na Chaluai,56,61,77,46,10.0,4.0,14.0,4.0,4.0,5.0,18.0,13.0,10.0,17.0,12,15.0,25.0,44,76,137,139,150,165,21.0
Ubon Ratchathani#Na Tan,51,59,54,32,11.0,9.0,8.0,9.0,2.0,5.0,5.0,5.0,8.0,12.0,11,8.0,14.0,17,39,97,116,107,134,16.0
Ubon Ratchathani#Na Yia,19,29,27,16,4.0,1.0,5.0,4.0,4.0,4.0,1.0,2.0,8.0,14.0,7,5.0,19.0,17,21,30,39,54,59,2.0
Ubon Ratchathani#Nam Khun,34,30,35,25,6.0,0.0,6.0,4.0,4.0,3.0,5.0,9.0,7.0,7.0,7,5.0,14.0,9,29,43,49,62,65,7.0
Ubon Ratchathani#Nam Yuen,93,120,134,89,18.0,12.0,30.0,17.0,12.0,17.0,10.0,16.0,20.0,12.0,27,31.0,27.0,69,84,156,179,189,181,47.0
Ubon Ratchathani#Phibun Mangsahan,180,281,282,253,22.0,14.0,38.0,27.0,10.0,35.0,17.0,16.0,33.0,54.0,29,43.0,79.0,89,136,357,398,475,544,49.0
Ubon Ratchathani#Pho Sai,52,97,71,55,5.0,3.0,7.0,4.0,9.0,5.0,4.0,3.0,5.0,7.0,12,12.0,29.0,26,42,133,127,149,146,12.0
Ubon Ratchathani#Samrong,41,58,68,44,6.0,2.0,8.0,14.0,5.0,11.0,5.0,3.0,11.0,8.0,17,9.0,37.0,26,39,81,104,72,99,19.0
Ubon Ratchathani#Sawang Wirawong,69,73,75,59,5.0,4.0,6.0,6.0,3.0,7.0,4.0,7.0,5.0,16.0,7,8.0,15.0,26,29,87,106,108,101,14.0
Ubon Ratchathani#Si Mueang Mai,59,104,99,57,11.0,14.0,18.0,14.0,9.0,6.0,11.0,9.0,12.0,18.0,20,31.0,30.0,38,58,222,231,271,251,43.0
Ubon Ratchathani#Sirindhorn,239,329,267,159,25.0,15.0,34.0,23.0,16.0,27.0,10.0,18.0,33.0,61.0,37,32.0,52.0,90,99,426,674,769,873,36.0
Ubon Ratchathani#Tan Sum,28,36,34,33,4.0,2.0,4.0,6.0,3.0,2.0,3.0,3.0,8.0,2.0,5,8.0,11.0,16,21,49,49,47,86,6.0
Ubon Ratchathani#Thung Si Udom,28,34,38,25,3.0,7.0,10.0,10.0,3.0,6.0,0.0,6.0,4.0,7.0,8,10.0,15.0,27,36,60,61,63,78,6.0
Ubon Ratchathani#Trakan Phuet Phon,139,183,230,139,23.0,25.0,34.0,22.0,19.0,25.0,18.0,6.0,15.0,31.0,33,32.0,57.0,64,109,334,304,370,393,31.0
Ubon Ratchathani#Warin Chamrap,930,1081,1046,779,132.0,84.0,128.0,75.0,75.0,107.0,53.0,66.0,118.0,156.0,182,178.0,270.0,257,387,1160,1418,1532,1184,176.0
Udon Thani#Ban Dung,448,616,608,434,65.0,37.0,79.0,43.0,35.0,56.0,21.0,26.0,46.0,90.0,95,73.0,177.0,143,176,374,448,943,590,81.0
Udon Thani#Ban Phue,194,220,232,181,32.0,16.0,32.0,27.0,18.0,34.0,14.0,13.0,29.0,44.0,41,43.0,97.0,74,145,345,342,412,385,48.0
Udon Thani#Chai Wan,51,72,61,44,10.0,6.0,13.0,4.0,4.0,6.0,12.0,9.0,2.0,17.0,8,10.0,25.0,27,52,106,96,121,130,15.0
Udon Thani#Ku Kaeo,42,61,165,50,2.0,3.0,4.0,3.0,1.0,11.0,6.0,7.0,4.0,11.0,8,7.0,25.0,19,38,62,81,90,80,9.0
Udon Thani#Kumphawapi,396,973,2130,1153,49.0,36.0,55.0,36.0,36.0,69.0,24.0,28.0,53.0,73.0,95,80.0,143.0,122,168,554,542,610,550,103.0
Udon Thani#Kut Chap,69,85,135,79,16.0,6.0,17.0,19.0,17.0,21.0,11.0,9.0,7.0,13.0,13,21.0,34.0,43,57,144,143,177,157,13.0
Udon Thani#Mueang Udon Thani,4349,4731,5185,3969,547.0,403.0,564.0,421.0,360.0,491.0,199.0,246.0,381.0,795.0,953,898.0,1271.0,1291,1426,4785,5604,6502,4032,479.0
Udon Thani#Na Yung,74,115,100,75,15.0,7.0,10.0,4.0,6.0,5.0,4.0,3.0,6.0,13.0,7,7.0,19.0,26,38,74,77,77,84,9.0
Udon Thani#Nam Som,95,119,136,105,23.0,11.0,22.0,17.0,12.0,23.0,8.0,11.0,12.0,12.0,20,16.0,47.0,64,66,211,218,221,185,31.0
Udon Thani#Non Sa-At,116,129,156,142,15.0,5.0,21.0,13.0,7.0,18.0,11.0,14.0,21.0,40.0,30,45.0,57.0,54,97,219,208,234,212,24.0
Udon Thani#Nong Han,216,275,345,232,22.0,22.0,41.0,25.0,22.0,38.0,19.0,23.0,24.0,41.0,48,42.0,74.0,97,171,341,354,395,397,45.0
Udon Thani#Nong Saeng,52,49,64,34,8.0,6.0,9.0,6.0,6.0,8.0,3.0,8.0,3.0,11.0,17,9.0,22.0,24,43,94,79,81,98,18.0
Udon Thani#Nong Wua So,99,126,137,87,15.0,6.0,15.0,13.0,10.0,18.0,12.0,16.0,14.0,27.0,26,27.0,62.0,44,47,234,177,202,232,19.0
Udon Thani#Phen,173,192,185,135,34.0,13.0,25.0,19.0,16.0,28.0,9.0,18.0,31.0,29.0,36,34.0,74.0,72,113,272,291,319,273,49.0
Udon Thani#Phibun Rak,42,48,48,28,6.0,2.0,5.0,3.0,3.0,8.0,3.0,1.0,3.0,7.0,5,4.0,24.0,13,24,48,86,98,67,9.0
Udon Thani#Prachaksinlapakhom,45,38,40,29,4.0,8.0,17.0,14.0,9.0,11.0,7.0,2.0,8.0,9.0,7,11.0,7.0,14,33,72,84,74,69,7.0
Udon Thani#Sang Khom,34,46,52,38,8.0,5.0,10.0,10.0,9.0,14.0,7.0,5.0,8.0,4.0,11,11.0,19.0,24,25,86,85,229,131,11.0
Udon Thani#Si That,100,126,125,100,15.0,7.0,13.0,11.0,7.0,12.0,11.0,14.0,18.0,27.0,27,16.0,40.0,33,62,214,197,229,229,37.0
Udon Thani#Thung Fon,34,52,55,35,9.0,3.0,10.0,2.0,3.0,6.0,2.0,0.0,3.0,6.0,5,7.0,17.0,28,36,80,78,91,90,22.0
Udon Thani#Wang Sam Mo,111,123,149,101,11.0,13.0,9.0,8.0,11.0,24.0,19.0,12.0,23.0,41.0,23,22.0,42.0,42,61,213,172,225,210,39.0
Uthai Thani#Ban Rai,247,363,364,254,30.0,21.0,40.0,34.0,21.0,29.0,17.0,18.0,25.0,47.0,39,35.0,71.0,101,173,597,543,512,403,48.0
Uthai Thani#Huai Khot,42,58,79,53,2.0,4.0,5.0,4.0,3.0,5.0,2.0,3.0,2.0,6.0,3,10.0,15.0,18,36,120,138,103,99,13.0
Uthai Thani#Lan Sak,166,233,278,210,27.0,18.0,33.0,33.0,10.0,19.0,21.0,15.0,27.0,34.0,38,29.0,54.0,49,97,382,351,400,334,41.0
Uthai Thani#Mueang Uthai Thani,610,839,783,647,59.0,33.0,62.0,45.0,40.0,41.0,19.0,23.0,39.0,101.0,100,93.0,126.0,147,178,641,851,901,541,70.0
Uthai Thani#Nong Chang,171,232,232,199,20.0,10.0,20.0,13.0,13.0,20.0,6.0,14.0,12.0,22.0,27,33.0,53.0,58,98,322,347,348,291,20.0
Uthai Thani#Nong Khayang,81,125,105,70,9.0,3.0,4.0,4.0,5.0,7.0,4.0,6.0,5.0,10.0,8,9.0,26.0,32,42,135,169,165,139,19.0
Uthai Thani#Sawang Arom,34,55,78,75,4.0,11.0,9.0,13.0,6.0,8.0,3.0,9.0,10.0,24.0,18,14.0,19.0,21,54,123,141,136,123,9.0
Uthai Thani#Thap Than,107,141,187,106,12.0,9.0,17.0,13.0,5.0,8.0,7.0,12.0,4.0,19.0,21,14.0,33.0,37,52,190,177,223,191,13.0
Uttaradit#Ban Khok,25,23,33,25,9.0,7.0,3.0,4.0,2.0,5.0,2.0,2.0,3.0,4.0,5,1.0,7.0,17,34,109,107,125,84,8.0
Uttaradit#Fak Tha,36,42,44,29,3.0,1.0,5.0,3.0,1.0,7.0,4.0,4.0,4.0,5.0,4,7.0,11.0,14,24,87,72,87,78,3.0
Uttaradit#Laplae,200,264,283,152,29.0,16.0,27.0,24.0,12.0,21.0,7.0,14.0,21.0,35.0,28,32.0,56.0,59,69,300,369,359,283,33.0
Uttaradit#Mueang Uttaradit,1074,1285,1309,959,110.0,77.0,161.0,92.0,74.0,140.0,37.0,62.0,118.0,216.0,204,200.0,289.0,301,386,1339,1643,1981,1362,146.0
Uttaradit#Nam Pat,103,129,145,85,8.0,6.0,15.0,9.0,3.0,16.0,5.0,9.0,10.0,14.0,8,15.0,23.0,31,42,151,212,219,206,13.0
Uttaradit#Phichai,203,247,262,180,31.0,17.0,37.0,19.0,14.0,20.0,10.0,20.0,19.0,42.0,35,38.0,53.0,74,116,374,382,381,430,43.0
Uttaradit#Tha Pla,109,166,191,81,9.0,7.0,26.0,8.0,6.0,10.0,4.0,5.0,17.0,31.0,12,14.0,33.0,26,64,220,229,315,250,16.0
Uttaradit#Thong Saen Khan,49,62,99,58,8.0,4.0,10.0,9.0,2.0,12.0,3.0,5.0,6.0,14.0,11,7.0,26.0,23,34,108,107,121,159,17.0
Uttaradit#Tron,110,111,104,96,17.0,4.0,15.0,11.0,4.0,6.0,8.0,5.0,7.0,19.0,18,20.0,23.0,32,54,162,183,198,184,18.0
Yala#Bannang Sata,49,55,101,59,10.0,9.0,4.0,2.0,5.0,108.0,6.0,4.0,8.0,13.0,19,14.0,23.0,29,19,99,71,95,104,14.0
Yala#Betong,215,227,276,157,21.0,14.0,28.0,19.0,7.0,172.0,18.0,12.0,18.0,53.0,50,49.0,87.0,118,92,254,304,346,295,17.0
Yala#Kabang,19,18,26,18,0.0,0.0,1.0,1.0,1.0,26.0,1.0,2.0,1.0,2.0,2,1.0,5.0,7,9,26,28,39,31,6.0
Yala#Krong Pinang,32,22,56,17,3.0,1.0,3.0,1.0,3.0,63.0,5.0,1.0,2.0,2.0,3,5.0,8.0,10,8,29,37,40,31,6.0
Yala#Mueang Yala,785,761,1073,687,78.0,72.0,109.0,56.0,51.0,928.0,31.0,29.0,61.0,132.0,186,162.0,197.0,220,269,1039,1152,1348,923,92.0
Yala#Raman,133,77,166,66,9.0,11.0,5.0,5.0,9.0,167.0,10.0,10.0,11.0,19.0,21,9.0,34.0,22,24,113,136,150,110,9.0
Yala#Than To,37,53,95,55,6.0,1.0,6.0,7.0,3.0,99.0,4.0,4.0,6.0,20.0,15,15.0,20.0,17,27,104,99,148,106,3.0
Yala#Yaha,98,239,415,278,9.0,4.0,6.0,5.0,5.0,115.0,7.0,4.0,4.0,9.0,15,6.0,10.0,18,21,62,74,81,79,7.0
Yasothon#Kham Khuean Kaeo,154,166,186,130,19.0,11.0,24.0,13.0,13.0,15.0,13.0,12.0,11.0,23.0,30,28.0,81.0,57,80,226,242,240,270,28.0
Yasothon#Kho Wang,52,58,48,41,10.0,3.0,1.0,2.0,3.0,4.0,6.0,3.0,2.0,7.0,4,6.0,8.0,21,33,90,66,55,57,7.0
Yasothon#Kut Chum,98,126,92,64,17.0,6.0,19.0,20.0,8.0,17.0,10.0,11.0,16.0,19.0,15,25.0,32.0,40,66,156,148,140,220,23.0
Yasothon#Loeng Nok Tha,200,229,259,172,29.0,20.0,44.0,17.0,7.0,29.0,16.0,16.0,20.0,39.0,41,39.0,77.0,58,119,300,310,287,277,57.0
Yasothon#Maha Chana Chai,140,160,167,85,17.0,7.0,23.0,14.0,9.0,16.0,12.0,7.0,5.0,18.0,21,13.0,40.0,33,76,152,142,122,195,33.0
Yasothon#Mueang Yasothon,605,706,736,519,85.0,70.0,90.0,71.0,47.0,81.0,47.0,47.0,63.0,143.0,158,126.0,221.0,227,252,734,790,970,788,113.0
Yasothon#Pa Tio,58,66,96,52,11.0,5.0,11.0,7.0,7.0,7.0,3.0,13.0,14.0,12.0,10,6.0,18.0,26,41,78,80,96,118,13.0
Yasothon#Sai Mun,36,50,58,42,5.0,4.0,9.0,4.0,1.0,4.0,6.0,7.0,15.0,9.0,12,10.0,21.0,23,38,60,46,66,92,11.0
Yasothon#Thai Charoen,45,40,46,39,4.0,3.0,10.0,5.0,1.0,4.0,2.0,2.0,7.0,8.0,9,14.0,22.0,31,50,89,81,78,98,22.0
