district,Jun19,Jul19,Aug19,Sep19,Oct19,Nov19,Dec19,Jan20,Feb20,Mar20,Apr20,May20,Jun20,Jul20,Aug20,Sep20,Oct20,Nov20,Dec20,Jan21,Feb21,Mar21,Apr21,May21
Saraburi#Wihan Daeng,203,227,277,212,13.0,13.0,34.0,14.0,10.0,31.0,19.0,7.0,20.0,16.0,28,27.0,45.0,56,58,249,297,694,383,23.0
Satun#Khuan Don,62,65,90,57,10.0,4.0,5.0,9.0,8.0,157.0,13.0,3.0,4.0,13.0,25,19.0,27.0,26,33,85,142,186,150,14.0
Satun#Khuan Kalong,101,84,108,62,2.0,5.0,4.0,7.0,4.0,62.0,14.0,10.0,11.0,12.0,19,28.0,20.0,32,33,155,165,163,155,14.0
Satun#La-Ngu,228,191,226,165,17.0,12.0,30.0,14.0,12.0,90.0,15.0,11.0,19.0,36.0,43,40.0,43.0,86,97,430,468,509,522,26.0
Satun#Manang,42,47,59,33,2.0,1.0,3.0,2.0,2.0,15.0,3.0,2.0,5.0,12.0,8,8.0,9.0,11,14,76,111,94,119,4.0
Satun#Mueang Satun,523,408,545,405,69.0,39.0,50.0,45.0,42.0,281.0,28.0,16.0,39.0,92.0,116,118.0,167.0,204,240,621,789,1087,1014,75.0
Satun#Tha Phae,43,30,56,38,2.0,3.0,6.0,7.0,2.0,33.0,2.0,1.0,3.0,10.0,7,10.0,13.0,22,22,76,104,92,85,8.0
Satun#Thung Wa,101,83,116,74,9.0,6.0,3.0,10.0,6.0,74.0,9.0,0.0,7.0,22.0,22,9.0,21.0,34,53,190,215,224,207,18.0
Si Sa Ket#Benchalak,70,65,82,36,6.0,5.0,14.0,6.0,3.0,13.0,8.0,5.0,9.0,6.0,8,11.0,24.0,20,39,95,72,96,102,16.0
Si Sa Ket#Bueng Bun,13,17,31,19,0.0,2.0,4.0,3.0,2.0,1.0,0.0,0.0,1.0,3.0,5,4.0,9.0,11,19,24,17,30,33,5.0
Si Sa Ket#Huai Thap Than,66,82,70,56,12.0,11.0,26.0,13.0,9.0,14.0,17.0,6.0,15.0,11.0,19,19.0,33.0,49,53,86,81,78,124,12.0
Si Sa Ket#Kantharalak,440,492,555,421,74.0,42.0,95.0,58.0,49.0,77.0,53.0,47.0,70.0,123.0,105,120.0,163.0,161,239,585,699,693,645,98.0
Si Sa Ket#Kanthararom,162,222,246,163,20.0,19.0,40.0,25.0,17.0,29.0,15.0,17.0,26.0,36.0,33,37.0,78.0,76,110,261,256,310,333,28.0
Si Sa Ket#Khukhan,234,318,390,374,29.0,25.0,63.0,42.0,16.0,31.0,15.0,14.0,27.0,50.0,55,60.0,78.0,100,158,324,290,291,365,51.0
Si Sa Ket#Khun Han,229,244,215,189,27.0,24.0,46.0,31.0,11.0,20.0,11.0,12.0,35.0,53.0,42,24.0,86.0,69,95,232,284,246,245,29.0
Si Sa Ket#Mueang Chan,27,24,38,21,4.0,3.0,6.0,4.0,1.0,3.0,1.0,1.0,0.0,4.0,1,2.0,5.0,16,14,20,29,33,26,6.0
Si Sa Ket#Mueang Si Sa Ket,1138,1477,1539,1099,137.0,90.0,230.0,99.0,78.0,123.0,67.0,50.0,112.0,204.0,270,207.0,361.0,332,425,1036,1306,1433,1069,147.0
Si Sa Ket#Nam Kliang,40,41,47,32,4.0,2.0,6.0,1.0,1.0,4.0,0.0,3.0,4.0,9.0,8,7.0,9.0,23,32,79,49,54,94,11.0
Si Sa Ket#Non Khun,32,34,41,27,4.0,8.0,8.0,9.0,1.0,7.0,3.0,4.0,5.0,28.0,9,5.0,15.0,30,29,66,77,60,100,7.0
Si Sa Ket#Phayu,41,62,71,51,8.0,8.0,12.0,7.0,7.0,8.0,11.0,5.0,6.0,11.0,14,4.0,27.0,20,40,65,69,67,86,11.0
Si Sa Ket#Pho Si Suwan,29,28,37,27,4.0,2.0,11.0,12.0,2.0,4.0,0.0,1.0,1.0,9.0,5,8.0,14.0,13,33,43,26,43,50,6.0
Si Sa Ket#Phrai Bueng,96,83,85,100,9.0,5.0,14.0,9.0,5.0,5.0,4.0,2.0,13.0,17.0,20,15.0,29.0,44,59,102,106,104,134,12.0
Si Sa Ket#Phu Sing,119,136,121,103,14.0,7.0,24.0,17.0,9.0,11.0,9.0,9.0,8.0,29.0,14,16.0,45.0,45,68,185,181,175,198,23.0
Si Sa Ket#Prang Ku,83,112,122,86,12.0,7.0,19.0,18.0,5.0,17.0,11.0,10.0,9.0,22.0,30,21.0,37.0,35,75,139,133,114,172,24.0
Si Sa Ket#Rasi Salai,141,185,149,139,22.0,15.0,34.0,19.0,16.0,30.0,11.0,9.0,11.0,27.0,35,38.0,57.0,63,119,224,228,271,250,30.0
Si Sa Ket#Si Rattana,64,57,72,60,10.0,7.0,11.0,8.0,7.0,7.0,3.0,4.0,8.0,13.0,15,10.0,25.0,30,36,86,95,85,138,16.0
Si Sa Ket#Sila Lat,42,47,35,19,3.0,2.0,6.0,2.0,2.0,6.0,2.0,1.0,5.0,4.0,4,3.0,18.0,17,23,57,36,37,71,2.0
Si Sa Ket#Uthumphon Phisai,255,373,398,251,38.0,25.0,69.0,45.0,18.0,33.0,18.0,17.0,41.0,66.0,65,39.0,112.0,106,176,336,336,311,406,52.0
Si Sa Ket#Wang Hin,50,83,84,41,11.0,10.0,12.0,14.0,9.0,12.0,2.0,4.0,6.0,13.0,16,11.0,33.0,27,49,85,91,67,129,6.0
Si Sa Ket#Yang Chum Noi,69,78,86,74,15.0,6.0,14.0,10.0,17.0,14.0,3.0,3.0,5.0,13.0,13,15.0,18.0,29,48,92,98,110,101,16.0
Sing Buri#Bang Rachan,189,220,227,171,19.0,14.0,25.0,15.0,13.0,19.0,11.0,16.0,17.0,30.0,26,23.0,40.0,43,64,193,233,257,191,17.0
Sing Buri#In Buri,387,489,567,374,33.0,15.0,45.0,24.0,19.0,54.0,23.0,24.0,28.0,57.0,61,56.0,82.0,75,107,408,492,543,386,42.0
Sing Buri#Khai Bang Rachan,133,151,205,142,19.0,7.0,11.0,8.0,7.0,13.0,6.0,5.0,10.0,23.0,21,23.0,51.0,54,42,123,172,155,127,21.0
Sing Buri#Mueang Sing Buri,738,839,979,700,59.0,37.0,68.0,42.0,43.0,62.0,25.0,44.0,50.0,111.0,110,94.0,154.0,161,167,630,1000,1110,716,75.0
Sing Buri#Phrom Buri,277,366,381,276,19.0,13.0,25.0,19.0,16.0,18.0,14.0,15.0,19.0,37.0,42,41.0,54.0,67,69,265,388,409,291,31.0
Sing Buri#Tha Chang,93,81,120,78,8.0,1.0,10.0,10.0,3.0,12.0,5.0,7.0,7.0,17.0,17,8.0,34.0,26,32,116,102,122,96,13.0
Songkhla#Bang Klam,223,246,304,261,34.0,20.0,13.0,15.0,16.0,100.0,8.0,13.0,26.0,46.0,42,41.0,58.0,49,57,339,389,432,296,28.0
Songkhla#Chana,223,247,380,293,23.0,15.0,25.0,19.0,21.0,260.0,19.0,16.0,18.0,38.0,55,56.0,79.0,91,90,349,428,458,357,40.0
Songkhla#Hat Yai,4802,4848,6096,4698,626.0,392.0,555.0,400.0,402.0,2017.0,168.0,193.0,427.0,798.0,1032,1080.0,1074.0,1337,1482,5476,6770,7329,4988,381.0
Songkhla#Khlong Hoi Khong,141,137,172,119,14.0,5.0,23.0,4.0,9.0,33.0,5.0,5.0,20.0,12.0,16,30.0,17.0,34,39,118,209,226,165,11.0
Songkhla#Khuan Niang,68,69,92,75,5.0,5.0,10.0,8.0,3.0,20.0,8.0,2.0,8.0,12.0,22,18.0,22.0,22,34,123,140,168,123,12.0
Songkhla#Krasae Sin,52,71,60,51,6.0,5.0,12.0,4.0,2.0,13.0,11.0,4.0,6.0,15.0,6,14.0,33.0,30,29,241,176,123,218,7.0
Songkhla#Mueang Songkhla,1400,1436,1611,1301,163.0,128.0,170.0,105.0,104.0,180.0,43.0,35.0,93.0,255.0,326,349.0,272.0,350,431,1995,2650,2822,2003,106.0
Songkhla#Na Mom,90,118,128,78,10.0,8.0,7.0,4.0,7.0,48.0,2.0,2.0,6.0,19.0,29,16.0,44.0,34,50,140,171,165,134,10.0
Songkhla#Na Thawi,165,147,212,134,11.0,9.0,11.0,12.0,11.0,99.0,7.0,6.0,6.0,21.0,28,39.0,58.0,43,54,291,367,313,234,27.0
Songkhla#Ranot,265,251,338,344,36.0,26.0,33.0,30.0,13.0,37.0,26.0,12.0,25.0,45.0,53,65.0,83.0,79,142,668,735,724,703,73.0
Songkhla#Rattaphum,193,182,218,170,33.0,13.0,23.0,18.0,15.0,81.0,8.0,9.0,28.0,43.0,41,39.0,71.0,59,94,383,460,429,397,37.0
Songkhla#Saba Yoi,113,104,165,111,14.0,15.0,5.0,9.0,13.0,112.0,10.0,7.0,6.0,20.0,16,11.0,13.0,21,41,190,220,236,176,16.0
Songkhla#Sadao,380,404,529,413,55.0,37.0,54.0,37.0,21.0,167.0,30.0,24.0,32.0,46.0,61,70.0,65.0,114,141,478,579,589,395,52.0
Songkhla#Sathing Phra,163,170,161,177,21.0,11.0,17.0,13.0,10.0,20.0,7.0,8.0,7.0,37.0,36,60.0,48.0,44,71,309,352,373,393,41.0
Songkhla#Singhanakhon,231,196,278,223,42.0,16.0,18.0,12.0,10.0,18.0,4.0,7.0,9.0,22.0,45,55.0,65.0,68,104,417,428,529,417,32.0
Songkhla#Thepha,262,232,305,276,23.0,18.0,21.0,12.0,18.0,250.0,18.0,22.0,29.0,39.0,32,58.0,72.0,69,114,499,496,522,453,47.0
Sukhothai#Ban Dan Lan Hoi,62,122,126,96,10.0,4.0,14.0,10.0,5.0,18.0,8.0,5.0,8.0,12.0,25,15.0,32.0,45,62,160,263,213,188,14.0
